,Unnamed: 0,Brand,Current Price,Original Price,Discount Percentage,Rating,Number OF Ratings,Dial Shape,Strap Color,Strap Material,Touchscreen,Battery Life (Days),Bluetooth,Display Size,Weight
0,0,noise,82990.0,89900.0,7.686318131,4.0,65.0,Rectangle,Black,Other,Yes,8.0,Yes,1.7,42.5
1,1,fire-boltt,3799.0,16999.0,77.65162657,4.3,20788.0,Square,Black,Silicon,Yes,3.5,Yes,1.8,62.5
2,2,boat,1999.0,7990.0,74.98122653,3.8,21724.0,Rectangle,Black,Silicon,Yes,8.0,Yes,1.7,42.5
3,3,fire-boltt,1799.0,19999.0,91.00455023,4.3,13244.0,Square,Black,Silicon,Yes,3.5,Yes,1.8,75.0
4,4,noise,1599.0,4999.0,68.01360272,4.1,13901.0,Rectangle,Black,Other,Yes,8.0,Yes,1.7,42.5
5,5,noise,1499.0,3999.0,62.51562891,4.0,32704.0,Rectangle,Black,Other,Yes,8.0,Yes,1.7,42.5
6,6,noise,1999.0,4999.0,60.0120024,4.1,1018.0,Rectangle,Black,Other,Yes,8.0,Yes,1.4,42.5
7,7,noise,1799.0,3999.0,55.01375344,4.0,32704.0,Rectangle,Black,Other,Yes,8.0,Yes,1.7,42.5
8,8,noise,1999.0,6499.0,69.24142176,4.1,39479.0,Rectangle,Black,Other,Yes,8.0,Yes,1.8,42.5
9,9,noise,1999.0,5999.0,66.67777963,4.1,39479.0,Rectangle,Black,Other,Yes,8.0,Yes,1.8,42.5
10,10,noise,1999.0,5999.0,66.67777963,4.1,8765.0,Rectangle,Black,Other,Yes,8.0,Yes,1.9,42.5
11,11,noise,1799.0,3999.0,55.01375344,4.0,32704.0,Rectangle,Black,Other,Yes,8.0,Yes,1.7,42.5
12,12,noise,3799.0,7999.0,52.50656332,3.8,545.0,Rectangle,Black,Other,Yes,8.0,Yes,1.7,42.5
13,13,noise,3499.0,5999.0,41.67361227,3.8,281.0,Rectangle,Black,Other,Yes,8.0,Yes,1.7,42.5
14,14,noise,1999.0,5999.0,66.67777963,4.1,9081.0,Rectangle,Black,Other,Yes,8.0,Yes,1.8,42.5
15,15,noise,1499.0,4999.0,70.0140028,4.0,93075.0,Rectangle,Black,Polycarbonate,Yes,3.6,Yes,1.3,27.5
16,16,noise,1799.0,4999.0,64.01280256,4.1,13901.0,Rectangle,Black,Other,Yes,8.0,Yes,1.7,42.5
17,17,noise,1999.0,5999.0,66.67777963,4.1,8765.0,Rectangle,Black,Other,Yes,8.0,Yes,1.9,42.5
18,18,noise,1999.0,5999.0,66.67777963,4.1,9081.0,Rectangle,Black,Other,Yes,8.0,Yes,1.8,42.5
19,19,noise,2499.0,5999.0,58.34305718,3.5,227.0,Rectangle,Black,Other,Yes,8.0,Yes,1.3,42.5
20,20,noise,1799.0,3999.0,55.01375344,4.0,32704.0,Rectangle,Black,Other,Yes,8.0,Yes,1.7,42.5
21,21,noise,2999.0,5999.0,50.00833472,4.1,5866.0,Rectangle,Black,Other,Yes,8.0,Yes,1.7,42.5
22,22,boat,2699.0,7990.0,66.22027534,4.2,71481.0,Rectangle,Black,Silicon,Yes,8.0,Yes,1.7,62.5
23,23,boat,2499.0,7990.0,68.72340426,4.2,71481.0,Rectangle,Black,Silicon,Yes,8.0,Yes,1.7,62.5
24,24,boat,1999.0,7990.0,74.98122653,3.8,21724.0,Rectangle,Black,Silicon,Yes,8.0,Yes,1.7,42.5
25,25,boat,1199.0,6990.0,82.84692418,4.0,27771.0,Rectangle,Black,Silicon,Yes,8.0,Yes,1.3,62.5
26,26,boat,1799.0,6990.0,74.26323319,3.9,2931.0,Rectangle,Black,Metal,Yes,8.0,Yes,1.8,42.5
27,27,boat,1999.0,7990.0,74.98122653,3.8,21724.0,Rectangle,Black,Silicon,Yes,8.0,Yes,1.7,42.5
28,28,boat,2599.0,7990.0,67.4718398,4.2,71481.0,Rectangle,Black,Silicon,Yes,8.0,Yes,1.7,75.0
29,29,boat,1999.0,7990.0,74.98122653,3.6,827.0,Rectangle,Black,Other,Yes,8.0,Yes,1.7,42.5
30,30,boat,1999.0,7990.0,74.98122653,3.6,827.0,Rectangle,Black,Other,Yes,8.0,Yes,1.7,75.0
31,31,boat,1199.0,6990.0,82.84692418,4.0,27771.0,Rectangle,Black,Silicon,Yes,8.0,Yes,1.3,62.5
32,32,noise,1799.0,4999.0,64.01280256,4.0,69803.0,Rectangle,Black,Other,Yes,8.0,Yes,1.8,42.5
33,33,boat,1699.0,6990.0,75.69384835,3.9,23498.0,Rectangle,Black,Stainless Steel,Yes,8.0,Yes,1.7,42.5
34,34,noise,1799.0,4999.0,64.01280256,4.1,13901.0,Rectangle,Black,Other,Yes,8.0,Yes,1.7,42.5
35,35,boat,1199.0,6990.0,82.84692418,4.0,27771.0,Rectangle,Black,Silicon,Yes,8.0,Yes,1.3,62.5
36,36,boat,1449.0,5990.0,75.8096828,3.9,3944.0,Rectangle,Black,Other,Yes,22.0,Yes,1.7,42.5
37,37,boat,1899.0,6499.0,70.78012002,3.7,328.0,Rectangle,Black,Other,Yes,8.0,Yes,1.7,42.5
